t X Y Z U V W
1814.00 5.758972866408193 13.04702220153884 2.225092946940096 219.1065695301192 -60.28623698931892 -44.56147361613946
1815.00 5.982354830266464 12.98381397263468 2.178915585872272 217.7373115860581 -63.32194301653892 -45.74214328937877
1816.00 6.20431151588696 12.91751233916589 2.131537333105369 216.3193486605998 -66.33568021597929 -46.90993411686743
1817.00 6.424793400552037 12.84814009022775 2.082971472734198 214.8532437547156 -69.32682155399979 -48.06462564677118
1818.00 6.643751540482903 12.7757206491181 2.033231512517302 213.339565981665 -72.29475378320068 -49.20600085869794
1819.00 6.861137576863559 12.70027805929228 1.982331180591858 211.7788901256248 -75.23887733410852 -50.33384571299848
1820.00 7.076903741421661 12.6218369704375 1.930284422689639 210.1717962168165 -78.15860618983602 -51.44794861892287
1821.00 7.291002861583833 12.54042262468403 1.877105399945973 208.5188691243765 -81.05336774378782 -52.54809980332031
1822.00 7.503388365224318 12.45606084297072 1.822808487414981 206.820698168387 -83.92260264031897 -53.63409055625034
1823.00 7.714014285027297 12.36877801158217 1.767408273431999 205.0778767527339 -86.76576459804699 -54.70571232278441
1824.00 7.922835262485252 12.27860106887582 1.710919560000113 203.2910020207866 -89.58232021524083 -55.76275560074471
1825.00 8.129806551557879 12.1855574922176 1.653357364425193 201.4606745363451 -92.37174875635264 -56.80500859118258
1826.00 8.334884022018876 12.08967528514597 1.594736922486833 199.5874979929154 -95.13354191828232 -57.83225553063034
1827.00 8.538024162521603 11.99098296478639 1.535073693517044 197.6720789552045 -97.86720357433045 -58.84427460950606
1828.00 8.739184083418788 11.88950954954018 1.474383367873086 195.7150266378736 -100.5722494929388 -59.84083534641837
1829.00 8.93832151937788 11.78528454707549 1.41268187744766 193.716952728169 -103.2482070271523 -60.82169523885292
1830.00 9.135394831841008 11.67833794265331 1.349985410077402 191.6784712612665 -105.8946147691176 -61.78659543966813
1831.00 9.330363011389458 11.56870018782787 1.286310429016587 189.600198560275 -108.5110221616766 -62.73525510482865
1832.00 9.523185680086435 11.4564021895708 1.221673699079368 187.4827532573269 -111.0969890558952 -63.66736390316267
1833.00 9.71382309389247 11.34147529988199 1.156092321685789 185.3267564186586 -113.6520851987201 -64.58257194503777
1834.00 9.902236145275047 11.22395130596932 1.089583781977571 183.1328318061608 -116.1758896281351 -65.48047602656173
1835.00 10.08838636617483 11.10386242110778 1.022166012565275 180.9016063222616 -118.6679899429697 -66.36060051992274
1836.00 10.27223593154867 10.98124127632916 0.9538574806028626 178.6337107070213 -121.1279813989291 -67.22237033239513
1837.00 10.45374766379657 10.85612091315474 0.8846773082194814 176.3297805907788 -123.5554657581235 -68.06507186647769
1838.00 10.63288503851145 10.7285347776759 0.8146454416657752 173.9904580608209 -125.9500497806593 -68.88779540991821
1839.00 10.80961219219469 10.59851671643109 0.7437828932540749 171.6163939909695 -128.3113431836545 -69.68934807264779
1840.00 10.98389393290628 10.46610097475577 0.6721120948194644 169.2082515351165 -130.6389557873075 -70.4681187775677
1841.00 11.1556957553501 10.33132219865272 0.5996574266681222 166.7667114484845 -132.9324933863117 -71.22186307311637
1842.00 11.32498386278874 10.19421544184957 0.5264460305307898 164.2924803654856 -135.191551566874 -71.94735031786585
1843.00 11.49172519972364 10.05481618076971 0.4525090951261921 161.7863040022838 -137.4157061231076 -72.63976945519626
1844.00 11.65588750199044 9.913160341985806 0.3778839472644661 159.2489887727432 -139.6044977201994 -73.29170773435852
1845.00 11.81743937573021 9.769284349932427 0.3026175316037705 156.6814379662261 -141.7574067520827 -73.89139378862069
1846.00 11.97635042493922 9.62322520797278 0.2267722297717368 154.0847126239153 -143.8738120026967 -74.41982610696176
1847.00 12.13259145944677 9.475020633174884 0.1504351785927081 151.4601298619657 -145.9529260978759 -74.84696691585167
1848.00 12.28613482381193 9.32470926803337 0.07373082263185006 148.8093974958225 -147.9937130982846 -75.13026289247621
1849.00 12.43695485787541 9.172330965303814 -0.003170198211816603 146.1347155595904 -149.994843986063 -75.22537924411647
1850.00 12.58502837082661 9.017927046904875 -0.08006269006018282 143.4386684676354 -151.9548129655831 -75.11423359458765
1851.00 12.73033485158801 8.861540339102788 -0.1567451461861764 140.7238350288112 -153.8722399887556 -74.82167176148772
1852.00 12.87285625032915 8.703214896747296 -0.2330557343131375 137.9924074539892 -155.7461269684404 -74.3950713249164
1853.00 13.01257650814185 8.542995578739044 -0.3088802925604194 135.246093410091 -157.5758882858234 -73.87720907505086
1854.00 13.14948110388607 8.380927675014455 -0.3841416545398998 132.4862149429599 -159.361246141429 -73.29753033021537
1855.00 13.28355672665063 8.217056650849658 -0.4587867910965401 129.7138355479231 -161.1021196463196 -72.67448157788225
1856.00 13.41479106197123 8.051427987555877 -0.5327776384279168 126.9298525427328 -162.7985484748959 -72.0194675396927
1857.00 13.54317265372747 7.884087084892361 -0.6060854587013625 124.1350545216603 -164.4506466106528 -71.3396874883407
1858.00 13.66869081207815 7.715079200259876 -0.6786874892273005 121.3301558399198 -166.0585750108041 -70.63983953526173
1859.00 13.79133554909451 7.544449409739974 -0.7505649331742184 118.5158175218481 -167.6225252025026 -69.92310349877629
1860.00 13.9110975313882 7.372242582418711 -0.8217017239953737 115.6926602948401 -169.1427091351933 -69.19171056592522
1861.00 14.02796804349887 7.198503363061355 -0.8920837424494305 112.861272996431 -170.6193526785831 -68.44728081020601
1862.00 14.14193895833822 7.023276160227462 -0.961698305136101 110.0222181946153 -172.0526913055031 -67.69102877700838
1863.00 14.25300271243095 6.846605138057105 -1.030533820609371 107.1760360814758 -173.4429671253577 -66.92389234086882
1864.00 14.36115228453401 6.668534210618946 -1.098579551885783 104.3232472659951 -174.7904267785656 -66.14661572738673
1865.00 14.46638117671816 6.489107038103034 -1.165825448338611 101.4643548455909 -176.0953198963494 -65.35980439894168
1866.00 14.56868339730429 6.308367024381284 -1.232262023981497 98.59984599273278 -177.3578979422601 -64.56396221087222
1867.00 14.66805344524127 6.126357315609415 -1.297880267483063 95.7301932075998 -178.5784133183361 -63.75951711807839
1868.00 14.76448629563788 5.943120799641614 -1.362671574344248 92.85585533550338 -179.7571186593199 -62.9468393175463
1869.00 14.85797738624401 5.758700106093467 -1.426627694854172 89.97727841505861 -180.8942662636844 -62.12625428797443
1870.00 14.94852260473276 5.573137606932235 -1.489740693478068 87.09489640211132 -181.9901076264243 -61.29805231999051
1871.00 15.03611827667291 5.386475417503723 -1.552002916662803 84.20913180069202 -183.0448930491568 -60.46249558980526
