!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
100|2MASS J08485953+1237144|08 48 59.5394050608 +12 37 14.369235996|0.8776|19.4|~|~|~|~|13.143627|~|11.636|11.172|11.022|~
100|2MASS J08490283+1300064|08 49 02.8377892800 +13 00 06.359511276|0.367|53.927399|~|~|~|~|12.059711|~|10.279|9.632|9.489|~
80|2MASS J08490916+1023214|08 49 09.1567204416 +10 23 21.392335104|0.8912|~|~|~|~|~|17.852346|~|15.573|15.052|14.642|~
100|2MASS J08491100+1058342|08 49 11.0069760672 +10 58 34.216334076|0.8811|-3.753280|~|~|~|~|15.019779|~|13.939|13.618|13.509|~
100|2MASS J08491294+1241252|08 49 12.9401157456 +12 41 25.202481972|4.5027|0.520808|~|~|~|~|12.872744|~|11.472|11.004|10.909|K3
100|2MASS J08491616+1048300|08 49 16.1652469080 +10 48 30.117337056|0.524|21.909700|~|~|~|~|13.774043|~|12.358|11.853|11.766|~
100|2MASS J08491617+1251340|08 49 16.1772644952 +12 51 33.977500344|1.3738|8.630150|~|~|~|~|11.763601|~|10.225|9.744|9.592|~
100|2MASS J08491878+1226439|08 49 18.7847773968 +12 26 43.920666924|0.8492|-0.285198|~|~|~|~|12.367238|~|10.863|10.359|10.240|~
74|2MASS J08492145+1011421|08 49 21.4786691712 +10 11 41.927145432|1.2394|~|~|~|~|~|19.286863|~|16.744|16.497|15.455|~
100|2MASS J08492203+1252378|08 49 22.0432953271 +12 52 37.868579150|0.1337|177.753998|~|~|~|~|13.873406|~|12.119|11.501|11.368|~
100|2MASS J08492547+1235297|08 49 25.4820270384 +12 35 29.560145208|7.7537|3.267850|~|~|~|~|13.172305|~|11.134|10.462|10.298|M0.6
95|2MASS J08492814+1246126|08 49 28.1478830088 +12 46 12.696113568|1.2382|~|~|~|~|~|17.345392|~|15.334|14.631|14.556|~
100|2MASS J08492971+1301506|08 49 29.7260881199 +13 01 50.571649237|1.9556|-14.752700|~|~|~|~|15.538828|~|13.854|13.246|13.110|~
100|2MASS J08492977+1237329|08 49 29.7813194664 +12 37 32.997905040|1.5081|21.023100|~|~|~|~|15.293985|~|13.452|12.864|12.766|~
100|2MASS J08493814+1049542|08 49 38.1568597416 +10 49 54.224264388|4.4176|-9.2|~|~|~|~|12.940870|~|11.501|11.004|10.917|~
100|2MASS J08493910+1100161|08 49 39.1103456064 +11 00 15.942431808|2.5793|54.710300|~|~|~|~|14.569935|~|12.768|12.201|12.037|~
100|2MASS J08494111+1239292|08 49 41.1213465816 +12 39 29.230084224|1.7355|-13.734200|~|~|~|~|15.341069|~|13.448|12.825|12.652|~
100|2MASS J08494351+1241268|08 49 43.5185713176 +12 41 26.807221788|2.4422|15.896900|~|~|~|~|14.406448|~|12.879|12.309|12.216|~
100|2MASS J08494540+1056467|08 49 45.4001747328 +10 56 46.721365980|1.622|103.169998|~|~|~|~|15.272827|~|13.778|13.228|13.134|~
100|2MASS J08495200+1259314|08 49 52.0077200328 +12 59 31.344616680|1.0843|~|~|~|~|~|16.275070|~|14.642|14.095|14.018|~
